 2210925377;371749;1001468341; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; MediaLibraryResponsiveWidget  ; widgetShow              ; MediaLibraryResponsiveWidget      ;1551391375929;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391375929; ANDROID             
2210925378;371749;1001468341; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; MediaLibraryResponsiveWidget  ; widgetShow              ; MediaLibraryResponsiveWidget      ;1551391394999;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391394999; ANDROID             
2210925379;371749;1001468341; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; MediaLibraryResponsiveWidget  ; widgetShow              ; MediaLibraryResponsiveWidget      ;1551391399369;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391399369; ANDROID             
2210925380;371749;1001468341; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; TV3 HD                        ; mediaSeen_PROGRAM       ; Adrenal?ns                        ;1551391399309;33220;737484; null                                               ;40; TV3 HD                   ;6550707583579;1551391399309; ANDROID             
2210926622;61045;1001421598; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391261259;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391261259; ANDROID             
2210926623;61045;1001421598; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391276042;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391276042; ANDROID             
2210928562;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391571294;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391571294; ANDROID             
2210928563;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391576965;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391576965; ANDROID             
2210928564;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391629228;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391629228; ANDROID             
2210928565;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391633250;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391633250; ANDROID             
2210928566;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391636491;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391636491; ANDROID             
2210928567;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391647234;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391647234; ANDROID             
2210928568;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391634414;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391634414; ANDROID             
2210928569;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391643038;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391643038; ANDROID             
2210928570;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391646279;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391646279; ANDROID             
2210928571;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391652245;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391652245; ANDROID             
